card_number,card_name,card_id,url,lifecycle_sales_count
4,Charizard-Holo,544027,/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/544027,9779
2,Blastoise-Holo,544023,/auctionprices/tcg-cards/1999-pokemon-game/blastoise-holo/544023,4403
8,Machamp-Holo 1st Edition,544036,/auctionprices/tcg-cards/1999-pokemon-game/machamp-holo-1st-edition/544036,3991
15,Venusaur-Holo,544049,/auctionprices/tcg-cards/1999-pokemon-game/venusaur-holo/544049,3862
10,Mewtwo-Holo,544039,/auctionprices/tcg-cards/1999-pokemon-game/mewtwo-holo/544039,2797
6,Gyarados-Holo,544031,/auctionprices/tcg-cards/1999-pokemon-game/gyarados-holo/544031,2372
12,Ninetales-Holo,544043,/auctionprices/tcg-cards/1999-pokemon-game/ninetales-holo/544043,2241
46,Charmander,544072,/auctionprices/tcg-cards/1999-pokemon-game/charmander/544072,2158
4,Charizard-Holo Shadowless,697336,/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo-shadowless/697336,2149
58,Pikachu Yellow Cheeks,1705070,/auctionprices/tcg-cards/1999-pokemon-game/pikachu-yellow-cheeks/1705070,2005
16,Zapdos-Holo,544051,/auctionprices/tcg-cards/1999-pokemon-game/zapdos-holo/544051,1957
1,Alakazam-Holo,544021,/auctionprices/tcg-cards/1999-pokemon-game/alakazam-holo/544021,1933
7,Hitmonchan-Holo,544033,/auctionprices/tcg-cards/1999-pokemon-game/hitmonchan-holo/544033,1847
13,Poliwrath-Holo,544045,/auctionprices/tcg-cards/1999-pokemon-game/poliwrath-holo/544045,1762
14,Raichu-Holo,544047,/auctionprices/tcg-cards/1999-pokemon-game/raichu-holo/544047,1760
3,Chansey-Holo,544025,/auctionprices/tcg-cards/1999-pokemon-game/chansey-holo/544025,1719
11,Nidoking-Holo,544041,/auctionprices/tcg-cards/1999-pokemon-game/nidoking-holo/544041,1709
9,Magneton-Holo,544037,/auctionprices/tcg-cards/1999-pokemon-game/magneton-holo/544037,1549
5,Clefairy-Holo,544029,/auctionprices/tcg-cards/1999-pokemon-game/clefairy-holo/544029,1524
46,Charmander Shadowless,1725473,/auctionprices/tcg-cards/1999-pokemon-game/charmander-shadowless/1725473,1401
44,Bulbasaur,1724710,/auctionprices/tcg-cards/1999-pokemon-game/bulbasaur/1724710,1386
46,Charmander 1st Edition,890974,/auctionprices/tcg-cards/1999-pokemon-game/charmander-1st-edition/890974,1363
58,Pikachu Red Cheeks-Shadowless,1725020,/auctionprices/tcg-cards/1999-pokemon-game/pikachu-red-cheeks-shadowless/1725020,1348
63,Squirtle,544083,/auctionprices/tcg-cards/1999-pokemon-game/squirtle/544083,1229
4,Charizard-Holo 1st Edition,544028,/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo-1st-edition/544028,1228
